Frame,Timestamp (s),Voltage (V),Current (A),Power (W),Power Factor (%),Total (kWh),Oneshot (kWh),Total ($),Oneshot ($)
249,8.303333333,121,0.094,3.7,0.304,2.38461,0.04959,1.61,903
250,8.336666667,121,0.094,3.7,0.324,2.38461,0.04959,1.61,3
251,8.37,121,0.0944,3.7,0.994,0.04959,161,93,25204
252,8.403333333,121,4,3.7,0.324,0.04959,1.61,3,251204
253,8.436666667,121,0.09441,3.7,0.324,2.384616,0.04959,1.61,3
254,8.47,121,0.094,3.7,0.324,2.3846,0.04959,1.61,3
255,8.503333333,21,0.0944,3.7,0.324,2.384614,0.0495,1.61,0.03
256,8.536666667,121,0.094,3.7,324,2.3846,0.04959,1.61,9.93
257,8.57,121,0.0944,3.7,0.394,2.38461,0.04959,1.61,0.03
258,8.603333333,121,0.094,3.7,394,0.0495,9.4,1.61,3
259,8.636666667,21,0.0844,3.7,304,2.38461,0.04959,161,3
260,8.67,121,0.005,3.73,0.324,2.3846,0.04959,250.204,3420847
261,8.703333333,121,0.095,3.73,0.324,0.04959,161,3,2520
262,8.736666667,121,0.095,3.73,394,23846,16,0.04959,1.61
263,8.77,121,0.095,3.73,0.394,2.38461,0.04959,161,0.03
264,8.803333333,121,0.095,3.73,0.394,2.3846,0.04959,1.61,0.03
265,8.836666667,210,0.0954,3.73,304,2.38461,0.04959,161,3
267,8.903333333,21,0.095,3.73,394,2.3846,0.04959,1.61,0.03
268,8.936666667,121,0.0954,3.73,0.394,2.3846,0.0495,161,3
269,8.97,121,0.0954,3.73,0.324,2.384614,0.04959,161,903
270,9.003333333,121,0.0954,3.73,394,2.3846,0.04959,1.61,0.03
271,9.036666667,121,0.0954,3.73,0.324,2.38461,0.04959,1.61,0.03
272,9.07,121,0.095,3.73,304,2.38461,0.04959,161,903
273,9.103333333,121,0.095,3.73,0.324,2.38461,0.0495,1.61,0.03
274,9.136666667,121,0.095,3.73,0.394,0.04959,1.61,903,25420
275,9.17,121,0.099,3.68,0.394,161,0.03,342047,2088710718
276,9.203333333,121,0.083,3.68,0.395,2.384614,0.0495,161,903
277,9.236666667,121,0.0934,3.68,0.325,0.04959,161,3,250
278,9.27,121,0.0934,3.68,0.325,2.3846145,0.04959,161,3
279,9.303333333,121,0.093,3.68,0.395,2.3846,0.04959,161,903
280,9.336666667,121,0.0934,3.68,325,3846,0.04959,161,0.03
281,9.37,121,0.093,3.68,0.395,2.38461,0.0495,161,3
282,9.403333333,121,0.093,3.68,0.395,2.3846,0.04959,161,0.03
283,9.436666667,121,0.0934,3.68,0.395,2.38461,0.04959,161,903
284,9.47,121,0.093,3.68,0.395,0.04959,161,903,254
285,9.503333333,121,0.093,3.68,0.395,1.61,0.03,3420047,2082710712
287,9.57,121,0.093,3.68,0.325,3846.1,0.04959,1.61,3
288,9.603333333,121,0.0934,3.68,0.395,2.3846,0.04959,1.61,9.93
289,9.636666667,121,0.0934,3.68,0.395,0.04959,161,0.03,250
290,9.67,121,0.0994,3.68,0.395,2.38461,0.04959,1.61,0.03
291,9.703333333,21,0.093,3.68,0.395,0.04959,161,3,250204
292,9.736666667,121,0.0934,3.68,0.395,3846,0.04959,1.61,3
293,9.77,121,0.0934,3.68,395,2.3846,0.04959,161,0.03
294,9.803333333,121,0.099,3.68,0.395,0.0495,9.4,1.61,0.03
295,9.836666667,121,0.0934,3.68,0.325,2.3846,0.04959,161,93
296,9.87,121,0.093,3.68,0.395,2.3846,0.04959,161,3
297,9.903333333,121,0.083,3.68,0.395,738460,0.04959,1.61,903
298,9.936666667,12,0,3.68,395,0.04959,161,3,250
299,9.97,21,0.0934,3.68,0.325,0.0495,9.4,1.61,903
300,10.00333333,121,0.0934,3.68,0.305,0.04959,1.61,903,254204
301,10.03666667,2,0.0931,3.68,0.305,2.384615,0.0495,1.61,0.03
302,10.07166667,121,0.093,3.68,0.325,2.3846,0.04959,161,903
303,10.105,121,0.093,3.68,0.325,2.3846,0.04959,1.61,3
306,10.205,121,0.0934,3.68,0.396,0.049599,1.61,0.03,25420
307,10.23833333,121,0.0934,3.68,0.396,1.61,3,254204,342047
308,10.27166667,121,0.093,3.68,0.396,2.3846,0.04959,1.61,0.03
309,10.305,121,0.0934,3.68,0.396,2.3846,0.04959,1.61,0.03
310,10.33833333,121,0.093,3.68,0.396,0.04959,161,903,254
311,10.37166667,121,0.093,3.68,0.396,2.38461,0.0495,161,903
312,10.405,210,0.093,3.68,0.396,0.04959,1.61,3,254204
313,10.43833333,121,0.093,3.68,0.396,0.049594,161,3,25120
314,10.47166667,121,0.099,3.68,0.396,2.3846,0.04959,1.61,0.03
315,10.505,121,0.093,3.68,0.396,2.38461,0.04959,161,903
316,10.53833333,121,0.083,3.68,306,2.3846,0.0495,9.4,161
317,10.57166667,121,0.0934,3.68,0.396,0.04959,1.61,903,254
318,10.605,121,0.0994,3.68,0.326,3846.1,0.04959,161,903
319,10.63833333,121,0.093,3.68,0.396,2.38461,0.04959,161,3
349,11.63833333,120.9,0.095,3.69,0.33,2.3846,0.0495,1.61,0.03
350,11.67166667,120.9,0.095,3.69,0.394,2.3846,0.0495,254204,3420847
351,11.705,120.9,0.095,3.69,0.324,2.38461,0.049599,1.61,0.03
352,11.73833333,120.9,0.0864,3.69,0.391,23846109,0.04959,1.61,0.03
353,11.77166667,120.9,0.095,3.69,0.324,2.38461,0.04959,1.61,0.03
354,11.805,120.9,0.095,3.69,0.324,2.3846,10,0.049594,1.61
355,11.83833333,120.9,0.0954,3.69,0.394,0.04959,161,3,25420
356,11.87166667,120.9,0.095,3.69,0.394,2.38461,0.049594,161,3
357,11.905,120.9,0.095,3.69,0.394,0.04959,161,903,250
358,11.93833333,120.9,0.095,3.69,0.394,2.3846,0.04959,161,3
359,11.97166667,120.9,0.095,3.69,0.324,0.04959,161,0.03,254
360,12.005,120.9,0.0954,3.69,0.321,86,2.3846,0.0495,94
361,12.03833333,120.9,0.0954,3.69,0.324,0.04959,1.61,993,25204
362,12.07166667,120.9,0.0954,3.69,0.394,2.38461,0.04959,1.61,903
363,12.105,121,0.0954,3.68,0.324,2.38461,0.04959,254204,342047
364,12.13833333,210,0.094,3.68,0.394,0.04959,1.61,0.03,250204
365,12.17166667,121,0.094,3.68,0.394,0.0495,94,1.61,0.93
366,12.205,121,0.094,3.68,0.324,0.04959,1.61,254204,3420847
368,12.27166667,121,0.094,3.68,0.324,2.3846,0.0495,1.61,903
369,12.305,121,9.0944,3.68,0.394,2.3846,0.049594,1.61,0.03
370,12.33833333,121,0.0944,3.68,0.394,86,2.3846,1.61,0.03
371,12.37166667,121,0.094,3.68,0.394,0.04959,1.61,0.03,250
373,12.43833333,121,0.094,3.68,0.394,2.384616,0.04959,1.61,903
374,12.47166667,121,0.094,3.68,0.324,0.04959,1.61,3,254
375,12.505,121,0.094,3.68,0.394,1.61,903,254204,34208.47
376,12.53833333,121,0.094,3.68,0.324,2.3846,0.0495,1.61,903
392,13.07166667,120.9,0.094,3.7,0.396,2.3846,0.04959,1.61,0.03
393,13.105,120.9,0.0944,3.7,0.394,2.3846205,0.04959,161,3
394,13.13833333,120.9,0.094,3.7,0.324,2.384621,0.04959,1.61,0.03
396,13.205,20.9,0.0944,3.7,304,1.61,3,254,204
397,13.23833333,120.9,0.094,3.7,0.324,0.04959,1.61,0.03,25420
398,13.27166667,120.9,0.0944,3.7,0.394,2.3846,24,0.04959,161
399,13.305,120.9,0.094,3.7,0.324,2.38462,0.04959,1.61,903
400,13.33833333,120.9,0.094,3.7,0.304,2.3846205,0.04959,161,903
401,13.37166667,120.9,0.094,3.7,0.394,0.04959,161,903,254
402,13.405,120.9,0.094,3.7,0.304,2.384621,0.04959,1.61,0.03
403,13.43833333,1208,94,3.7,0.304,2.38462,0.04959,1.61,0.03
404,13.47166667,120.9,0.094,3.7,0.324,2.3846,21,0.04959,1.61
405,13.505,120.9,0.0944,3.7,0.394,2.384621,0.04959,1.61,0.03
406,13.53833333,120.9,0.094,3.7,0.394,2.384621,0.04959,1.61,903
407,13.57166667,120.9,0.0844,3.69,0.394,2.38462,0.04959,161,903
409,13.63833333,120.9,0.0934,3.69,0.395,2.38462,0.0495,1.61,0.03
410,13.67166667,120.9,0.093,3.69,0.325,2.384621,0.04959,1.61,903
411,13.705,120.9,0.0934,3.69,325,2.38462,0.04959,161,3
412,13.73833333,120.9,0.0934,3.69,395,2.38462,0.04959,1.61,0.03
413,13.77166667,120.9,0.093,3.69,0.395,1.61,250.204,342047,718
414,13.805,120.9,0.0934,3.69,0.395,2.3846204,0.0495,161,903
415,13.83833333,120.9,0.093,3.69,325,0.04959,1.61,0.03,254
416,13.87166667,209,0.0934,3.69,0.395,2.3846205,0.0495,1.61,0.03
417,13.905,120.9,0.0934,3.69,0.395,0.04959,161,3,250204
418,13.93833333,120.9,0.093,3.69,0.325,2.38462,0.04959,1.61,0.03
421,14.03833333,120.9,0.093,3.69,0.395,2.38462,0.0495,1.61,0.03
422,14.07166667,1210,98,3.69,0.325,2.3846,24,0.04959,1.61
423,14.10666667,121,0.094,3.69,0.399,2.38462,0.04959,1.61,0.03
424,14.14,121,0.094,3.69,0.322,0.04959,1.61,3,250
425,14.17333333,121,0.094,3.69,0.399,2.384621,0.04959,1.61,3
426,14.20666667,121,0.094,3.69,0.399,7384520,0.04959,1.61,0.03
427,14.24,121,0.0944,3.69,0.399,2.384624,0.04959,161,903
428,14.27333333,121,0.094,3.69,0.399,7384620,0.04959,1.61,903
429,14.30666667,121,0.094,3.69,0.399,2.384624,0.04959,161,903
430,14.34,121,0.094,3.69,0.399,2.38462,0.04959,1.61,3
431,14.37333333,121,0.0944,3.69,0.329,2.38462,0.04959,1.61,0.93
432,14.40666667,121,0.094,3.69,0.329,2.38462,0.04959,161,903
433,14.44,121,0.094,3.69,0.329,0.04959,161,903,254
434,14.47333333,121,0.094,3.69,0.329,2.38462,0.04959,1.61,0.03
435,14.50666667,121,0.094,3.69,399,2.38462,0.04959,1.61,903
436,14.54,121,0.094,3.68,329,2.38462,0.04959,161,0.03
437,14.57333333,121,0.094,3.68,0.324,2.38462,0.04959,1.61,903
438,14.60666667,121,0.094,3.68,0.394,2.38462,0.04959,161,903
439,14.64,121,0.094,3.68,0.324,2.38462,0.04959,161,903
440,14.67333333,21,0.094,3.68,0.324,0.04959,1.61,0.03,250.2
441,14.70666667,121,0.094,3.68,0.324,2.38462,0.04959,0.03,250
442,14.74,121,0.094,3.68,0.324,2.38462,0.04959,161,3
443,14.77333333,121,0.094,3.68,0.324,2.38462,0.0495,1.61,3
444,14.80666667,121,0.094,3.68,0.324,2.384621,0.0495,1.61,3
445,14.84,121,0.094,3.68,0.394,0.04959,161,3,254
446,14.87333333,121,0.094,3.68,0.394,2.38462,0.04959,1.61,3
447,14.90666667,121,0.094,3.68,0.394,0.04959,161,903,254
448,14.94,121,0.094,3.68,0.394,2.38462,0.04959,1.61,3
449,14.97333333,121,0.094,3.68,0.334,2.38462,0.04959,161,3
450,15.00666667,121,0.094,3.68,0.394,161,3,250.204,342047
451,15.04,121,0.0944,3.68,0.324,2.38462,0.0495,254,204
452,15.07333333,121,4,3.68,0.393,2.38462,0.04959,1.61,0.03
453,15.10666667,121,0.094,3.68,0.393,2.38462,0.04959,161,0.03
454,15.14,121,0.094,3.68,0.33,2.38462,0.04959,161,3
455,15.17333333,121,0.094,3.68,0.393,0.04959,1.61,0.03,25204
456,15.20666667,121,0.094,3.68,0.323,2.3846,2,254204,3420147
457,15.24,121,0.094,3.68,0.393,2.38462,0.0495,1.61,0.03
458,15.27333333,121,0.094,3.68,0.393,60,2.3846,0.049594,1.61
459,15.30666667,21,0.084,3.68,0.323,2.3846,2,0.04959,161
460,15.34,121,0.0944,3.68,0.323,2.38462,0.04959,1.61,0.03
461,15.37333333,121,0.094,3.68,0.393,0.04959,161,903,254204
462,15.40666667,121,0.094,3.68,0.323,2.38462,0.0495,1.61,0.03
463,15.44,121,0.094,3.68,0.323,2.38462,0.0495,251204,3420847
464,15.47333333,121,0.094,3.68,0.323,0.04959,1.61,0.03,25204
465,15.50666667,121,0.0944,3.68,0.393,0.04959,1.61,0.03,25120
482,16.07333333,120.9,0.098,3.68,0.328,2.38462,0.04959,161,903
483,16.10666667,1205,0,3.68,0.305,2.38462,0.04959,1.61,903
484,16.14,120.9,0.093,3.68,0.325,2.38462,0.04959,1.61,903
485,16.17333333,20.9,0.0894,3.68,0.395,2.38462,0.04959,1.61,0.03
487,16.24,120.9,0.0934,3.68,0.395,2.38462,0.0495,1.61,3
488,16.27333333,120.9,0.0934,3.68,0.395,2.38462,0.04959,1.61,903
489,16.30666667,120.9,0.093,3.68,0.395,2.38462,0.0495,1.61,0.03
490,16.34,120.9,0.0934,3.68,0.395,161,903,254,204
491,16.37333333,120.99,0.0934,3.68,0.395,2.38462,0.04959,161,0.03
493,16.44,120.9,0.093,3.68,0.395,2.38462,0.0495,94,1.61
494,16.47333333,120.9,0.093,3.68,0.395,2.38462,0.0495,254204,34208
495,16.50666667,120.9,0.093,3.68,0.325,1.61,3,254,204
496,16.54,120.9,0.093,3.68,0.395,2.38462,0.04959,16,0.03
497,16.57333333,120.9,0.098,3.72,0.395,2.384624,0.049594,161,3
498,16.60666667,20.9,0.094,3.72,0.395,2.3846,21,0.04959,1.61
499,16.64,120.9,0.094,3.72,0.325,161,903,25,20
500,16.67333333,120.9,0.094,3.72,0.395,0.04959,1.61,0.03,254204
